msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Dallas-Fort Worth-Arlington, TX Metro Area",7673379,4.6,13.7,28.0,83398,45358,19100,33.1609629,-96.6060984,2947189,2760991,186198,6.317816739951187
"Dalton, GA Metro Area",143096,6.0,3.9,22.5,60017,35081,19140,34.7851861,-84.7352262,54914,50852,4062,7.397020796153986
"Danville, KY Micro Area",54933,6.4,7.8,26.2,53228,34698,19220,37.6240938,-84.8540572,23706,21457,2249,9.487049692061085
"Danville, VA Micro Area",103048,5.6,4.7,23.5,46853,32991,19260,36.8121678,-79.4364106,51628,44330,7298,14.135740295963432
"Daphne-Fairhope-Foley, AL Metro Area",233420,3.4,9.1,26.6,71039,39109,19300,30.5677527,-87.7324392,124148,93116,31032,24.995972548893256
"Davenport-Moline-Rock Island, IA-IL Metro Area",382983,4.8,6.9,20.6,68395,41045,19340,41.3418549,-90.1177442,174002,159261,14741,8.471741704118344
"Decatur, AL Metro Area",156218,3.9,4.4,24.9,60036,36365,19460,34.4776367,-87.3017331,68490,62758,5732,8.369104978829025
"Decatur, IL Metro Area",103542,7.2,6.1,18.7,59622,39428,19500,39.8455208,-88.9602376,49727,44549,5178,10.412854183843786
"Decatur, IN Micro Area",35827,3.2,5.6,22.7,61731,38655,19540,40.7371667,-84.9347295,13172,12386,786,5.967203158214394
"Defiance, OH Micro Area",38300,4.9,4.0,21.1,69302,40240,19580,41.3203058,-84.5084835,16539,15482,1057,6.3909547131023645
"Del Rio, TX Micro Area",47693,3.4,2.9,18.4,57250,31745,19620,29.9153286,-101.1284631,18455,15796,2659,14.408019506908698
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",676035,4.1,12.1,26.9,64197,37279,19660,29.4844412,-81.2917415,327890,280751,47139,14.3764677178322
"Deming, NM Micro Area",25393,7.0,6.6,21.6,38241,25034,19700,32.1345966,-107.7682754,11508,9822,1686,14.65067778936392
"DeRidder, LA Micro Area",36553,8.1,3.3,32.7,68525,42767,19760,30.6144496,-93.3416829,15771,13797,1974,12.51664447403462
