"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Elizabethtown-Fort Knox, KY Metro Area","65,086","59,857","5,229"
"Elk City, OK Micro Area","","",""
"    Elk City, OK Micro Area","10,123","8,034","2,089"
"Elkhart-Goshen, IN Metro Area","","",""
"    Elkhart-Goshen, IN Metro Area","79,594","74,631","4,963"
"Elkins, WV Micro Area","","",""
"    Elkins, WV Micro Area","13,035","10,980","2,055"
"Elko, NV Micro Area","","",""
"    Elko, NV Micro Area","22,732","20,433","2,299"
"Ellensburg, WA Micro Area","","",""
"    Ellensburg, WA Micro Area","23,743","18,650","5,093"
"Elmira, NY Metro Area","","",""
"    Elmira, NY Metro Area","38,985","35,242","3,743"
"El Paso, TX Metro Area","","",""
"    El Paso, TX Metro Area","319,001","297,233","21,768"
"Emporia, KS Micro Area","","",""
"    Emporia, KS Micro Area","16,354","14,239","2,115"
"Enid, OK Metro Area","","",""
"    Enid, OK Metro Area","27,846","24,198","3,648"
"Enterprise, AL Micro Area","","",""
"    Enterprise, AL Micro Area","24,105","21,263","2,842"
"Erie, PA Metro Area","","",""
"    Erie, PA Metro Area","119,791","109,371","10,420"
"Escanaba, MI Micro Area","","",""
"    Escanaba, MI Micro Area","19,786","16,290","3,496"
"Española, NM Micro Area","","",""
"    Española, NM Micro Area","19,545","16,122","3,423"
"Eufaula, AL-GA Micro Area","","",""
